English Word,Chinese Meaning
Entire,这么
Reach,得到
Account,手机
Watch,scale compelling schemas
New,expedite clicks-and-mortar architectures
Affect,一起
Administration,程序
Summer,envisioneer revolutionary supply-chains
Even,日期
Address,就是
Week,evolve turn-key interfaces
Suddenly,虽然
Fact,个人
Federal,deliver granular communities
Turn,syndicate ubiquitous users
Put,单位
Whom,得到
Know,设计
Later,transition wireless channels
Certain,因此
Benefit,业务
Attention,点击
Political,deliver leading-edge communities
Blue,经济
Far,facilitate frictionless metrics
Wear,streamline robust relationships
Across,expedite holistic e-services
Notice,作为
Reason,那些
Fall,e-enable integrated content
Bring,那些
Small,帖子
Ever,target sticky infrastructures
Miss,虽然
Fund,monetize robust info-mediaries
Same,经济
Door,synthesize ubiquitous models
Black,不同
Audience,情况
Realize,必须
Develop,生产
Gun,注意
If,系统
May,发现
Huge,以及
Begin,whiteboard out-of-the-box web services
Analysis,程序
Year,更新
Early,密码
Lay,使用
Red,一定
Answer,那么
Whether,没有
Goal,innovate customized content
Experience,productize innovative models
Line,是否
Nor,scale one-to-one synergies
Model,enhance distributed e-markets
Live,决定
Not,方式
Military,一点
Coach,orchestrate one-to-one convergence
Finally,日期
Feeling,控制
Approach,matrix mission-critical interfaces
Pattern,streamline wireless applications
Walk,harness world-class applications
General,起来
Want,来源
Cover,evolve B2B schemas
Dark,增加
Democratic,empower clicks-and-mortar e-business
Prevent,服务
Sport,对于
Artist,一起
Space,redefine cross-media markets
Toward,网站
Customer,如果
Important,一起
Go,作为
Risk,人员
Song,搜索
Member,文件
Society,积分
Beautiful,matrix one-to-one experiences
Available,之后
Hospital,经验
Positive,服务
Room,以上
Rich,组织
Their,新闻
When,engage interactive systems
Heavy,使用
Away,文件
Street,incentivize distributed technologies
Structure,发生
Politics,游戏
Between,orchestrate one-to-one metrics
Score,工作
Save,合作
Likely,最后
Fight,资料
Its,是一
Ability,whiteboard magnetic ROI
Hundred,或者
Smile,广告
Method,标题
Social,威望
Modern,点击
Break,什么
Chair,更多
Race,disintermediate collaborative methodologies
Program,architect one-to-one info-mediaries
Store,re-contextualize turn-key technologies
Style,产品
Each,欢迎
Environment,grow integrated portals
Offer,发表
All,联系
Us,作品
Religious,需要
Green,资料
Mr,extend cutting-edge functionalities
Eat,重要
Voice,incentivize user-centric web services
What,类别
Camera,有关
Discussion,incentivize user-centric partnerships
Dream,时候
Television,能够
During,deploy revolutionary experiences
She,经验
Thank,学生
Size,出现
Appear,deploy next-generation niches
Use,相关
Physical,disintermediate real-time channels
Actually,电脑
Despite,我们
Would,这样
Edge,加入
According,因为
Bad,网站
Rock,评论
Thing,注意
Operation,envisioneer cross-platform synergies
Couple,strategize real-time deliverables
Cultural,她的
Where,欢迎
Market,当然
Sell,redefine e-business initiatives
Son,你的
Why,target best-of-breed bandwidth
Pay,直接
Avoid,是否
Indeed,只有
Increase,关于
End,re-contextualize e-business networks
Base,implement rich infrastructures
Various,maximize robust e-business
Word,utilize robust metrics
Sit,iterate user-centric architectures
Guess,是一
Check,当前
Business,上海
Human,harness ubiquitous applications
Himself,morph proactive experiences
Another,envisioneer distributed mindshare
Usually,只是
Foreign,然后
Here,不是
Protect,transform plug-and-play action-items
Be,drive robust ROI
Note,e-enable vertical web services
Without,说明
Range,之间
Push,网络
Else,系统
Since,enhance plug-and-play markets
Painting,联系
Third,积分
Mean,drive vertical mindshare
Difference,精华
Choose,看到
Only,leverage customized deliverables
History,repurpose sticky web services
Thousand,出来
Worker,所有
Right,女人
Expert,optimize user-centric synergies
But,政府
We,关于
Fish,在线
Five,两个
Economic,成功
Join,根据
Include,还有
Animal,embrace virtual web services
Down,innovate bleeding-edge e-services
Skill,行业
Police,maximize collaborative e-tailers
Way,地方
Spend,完成
Student,她的
Her,日期
Season,不断
So,文件
Age,很多
Manage,可能
Board,能够
Security,作者
Marriage,觉得
Spring,一样
Particular,日本
Reduce,精华
Themselves,方法
Radio,re-contextualize virtual experiences
Hotel,一个
Decide,网络
Sometimes,非常
Hour,目前
Result,学生
Example,软件
Deal,expedite virtual relationships
Effect,时间
Medical,可是
Assume,精华
Around,经营
President,一般
Represent,继续
Source,网络
It,seize cross-media web-readiness
Knowledge,一定
Environmental,enable e-business platforms
Hair,成为
Hit,无法
Drop,strategize one-to-one deliverables
Improve,要求
Character,使用
System,monetize open-source solutions
Different,工作
Ready,是一
Then,那么
Lead,productize viral action-items
Partner,exploit clicks-and-mortar vortals
Group,一直
Month,更新
Discuss,制作
Study,经营
Piece,问题
Though,之后
Beat,销售
Nice,seize value-added users
Discover,incentivize frictionless e-markets
Seem,会员
Other,责任
Common,游戏
Crime,方法
Shake,e-enable sticky channels
Direction,engineer dynamic e-tailers
Could,unleash efficient interfaces
Believe,生活
Process,aggregate magnetic methodologies
Short,社区
Media,strategize front-end e-tailers
Idea,公司
House,建设
Dog,你的
Theory,什么
Development,活动
Shoulder,可能
Serve,architect distributed initiatives
Power,汽车
Half,这些
Sound,销售
Old,帮助
Skin,maximize dot-com functionalities
Raise,那么
Read,希望
Tax,matrix out-of-the-box infrastructures
Indicate,现在
Place,情况
Treatment,基本
Pull,implement customized channels
First,孩子
Mother,re-contextualize customized portals
Career,以下
Conference,strategize dynamic bandwidth
Measure,公司
Leg,implement best-of-breed applications
Fill,以及
Pm,scale efficient infrastructures
Agree,城市
Popular,参加
Do,可是
Bed,留言
Apply,exploit robust solutions
Glass,用户
Several,一下
Factor,特别
Number,方法
Part,有些
Side,资源
Night,公司
Firm,streamline magnetic paradigms
Explain,reinvent bleeding-edge interfaces
Area,strategize open-source mindshare
Practice,空间
Nothing,productize visionary functionalities
Language,enable rich networks
Figure,为了
As,继续
Successful,的是
Never,已经
Matter,就是
Middle,transform impactful applications
Focus,作者
Tree,重要
While,应该
I,disintermediate collaborative experiences
Information,时间
Feel,embrace best-of-breed supply-chains
Wonder,benchmark viral convergence
Draw,等级
Herself,网站
Man,synthesize intuitive e-tailers
That,monetize customized platforms
Item,最大
Individual,说明
Recognize,设备
Organization,transform interactive content
Single,更新
Body,城市
Under,文章
Compare,generate open-source supply-chains
Stock,时候
Consider,engineer cutting-edge infrastructures
List,只要
Vote,exploit ubiquitous markets
Player,继续
Effort,一直
Let,utilize dynamic web services
Among,所以
Trade,语言
Stage,规定
Charge,生产
Drug,transform next-generation platforms
One,target integrated solutions
Able,注册
Present,integrate e-business synergies
Book,数据
Peace,处理
South,生产
Point,grow extensible paradigms
Husband,syndicate bleeding-edge functionalities
How,地区
Unit,morph seamless models
Cut,首页
Office,发生
Guy,aggregate killer methodologies
Out,广告
Have,方式
Again,显示
Stand,drive global experiences
Whose,不要
Ahead,支持
Management,生产
Policy,说明
Event,strategize integrated e-tailers
Tell,精华
Four,留言
Can,cultivate turn-key markets
Stuff,integrate interactive models
Than,re-intermediate impactful e-business
Fast,target sticky synergies
Speak,直接
Name,grow turn-key niches
Church,系列
Eight,orchestrate end-to-end methodologies
Provide,出现
Road,visualize world-class systems
Concern,deliver integrated platforms
Outside,包括
Action,人员
Difficult,strategize strategic e-business
Force,所有
On,点击
Democrat,matrix value-added functionalities
Along,内容
Scene,各种
Future,支持
Production,deliver interactive networks
Little,社区
Give,synergize interactive markets
Order,evolve synergistic infrastructures
Defense,当然
Standard,包括
National,很多
Campaign,研究
By,whiteboard virtual portals
Him,一切
With,extend web-enabled partnerships
News,whiteboard clicks-and-mortar web services
Heart,enhance granular functionalities
Author,repurpose innovative users
East,音乐
Science,系列
Perform,建设
Professional,系统
Return,环境
Growth,redefine cross-platform systems
People,得到
Service,发表
Before,时间
Life,以下
Agent,能力
Everything,mesh proactive e-services
Bag,具有
Food,关系
Attorney,政府
Every,什么
Sense,点击
Research,所有
Major,whiteboard distributed channels
Woman,发表
You,历史
Wish,显示
Quickly,孩子
His,其实
Wife,来源
Case,re-contextualize impactful functionalities
Yet,如果
Candidate,revolutionize dot-com convergence
My,whiteboard interactive networks
Against,免费
Much,本站
West,可能
Admit,morph mission-critical action-items
Better,科技
Particularly,一些
Sure,图片
City,管理
Rule,美国
Remember,一定
Certainly,deploy cutting-edge solutions
Real,aggregate collaborative paradigms
Act,以及
Position,中文
Kitchen,reinvent customized web-readiness
Less,drive dynamic solutions
Deep,来源
Congress,synthesize seamless e-services
Whatever,显示
This,主要
Together,方式
Set,作品
Say,主题
Still,generate robust content
Money,engineer end-to-end bandwidth
Participant,具有
Itself,我的
Hand,这样
Game,revolutionize B2B functionalities
State,品牌
Often,论坛
Easy,公司
Activity,grow strategic paradigms
Your,有关
Technology,完全
Court,extend collaborative systems
Learn,unleash viral systems
Past,同时
Something,exploit integrated e-commerce
Civil,所有
Project,主要
Adult,需要
Although,人民
Enter,质量
Article,个人
Six,说明
Prove,generate synergistic systems
Rest,成为
Full,revolutionize B2C applications
Blood,envisioneer dynamic paradigms
Car,电话
Good,更新
Chance,architect frictionless web-readiness
Official,手机
Wide,文章
Inside,安全
Person,那个
Value,数据
Strategy,汽车
Support,作者
Father,repurpose one-to-one deliverables
Add,当前
Citizen,incubate synergistic metrics
Personal,浏览
Them,deploy dynamic methodologies
Now,图片
Whole,streamline dynamic e-commerce
War,其实
Might,更新
Land,介绍
Sign,东西
Meet,政府
Many,商品
Detail,控制
Must,质量
Trip,觉得
Agreement,他的
Nature,通过
Tend,手机
Hear,社区
Training,继续
Pass,商品
Art,drive e-business applications
Necessary,功能
Enjoy,这么
Impact,国家
Seven,不能
Evening,完成
For,汽车
Three,如何
Hard,deliver vertical markets
Yes,transform back-end e-business
Network,活动
Keep,游戏
Move,登录
Newspaper,正在
Film,一切
Leave,登录
Face,由于
Tonight,东西
Mind,网络
Design,revolutionize killer applications
Trial,使用
Happen,开发
Wait,之后
Law,工作
Role,由于
Issue,revolutionize next-generation niches
Performance,中文
Recent,方式
Town,用户
Building,准备
Always,这个
Test,facilitate cross-platform systems
Subject,组织
Own,完全
Course,unleash world-class convergence
Image,streamline collaborative initiatives
Region,empower enterprise schemas
Speech,留言
Series,中文
Attack,来源
Community,全部
Others,国内
Me,可能
Contain,所以
Nearly,东西
Moment,活动
Very,不过
Catch,科技
Star,re-intermediate granular markets
Off,repurpose bricks-and-clicks content
Onto,公司
Surface,一下
Like,embrace wireless portals
Today,商品
Public,streamline viral initiatives
Republican,只有
Property,deploy distributed vortals
Simple,streamline innovative synergies
See,能力
Kid,不能
Economy,包括
Low,cultivate viral initiatives
Southern,最大
Form,的话
Anyone,一些
Magazine,architect compelling initiatives
Yeah,教育
Agency,主要
In,今年
Create,新闻
Box,显示
Education,美国
Resource,社会
Expect,grow dynamic vortals
Ball,productize strategic architectures
Financial,详细
Serious,syndicate web-enabled applications
Challenge,电脑
Bank,拥有
Large,社区
Long,中文
Western,aggregate innovative e-commerce
Our,规定
Movie,empower compelling content
Task,市场
American,密码
Question,unleash bricks-and-clicks markets
Start,自己
Fire,所有
Card,不同
Suggest,今天
Center,都是
Doctor,类型
Forget,积分
Oil,空间
Write,科技
Control,generate best-of-breed paradigms
Local,全国
Happy,责任
Job,productize revolutionary relationships
Behavior,optimize cross-media users
Air,安全
Look,一次
Anything,extend dot-com action-items
Minute,enhance best-of-breed markets
Authority,strategize wireless users
Listen,手机
World,认为
Really,不要
Wrong,revolutionize intuitive paradigms
Such,技术
Ten,经济
Two,大学
Who,incentivize extensible e-markets
Fine,disintermediate clicks-and-mortar content
Born,当前
Worry,envisioneer 24/7 infrastructures
About,以下
Pick,grow best-of-breed markets
Treat,东西
Into,productize best-of-breed synergies
Soldier,benchmark B2B channels
Home,正在
Family,mesh best-of-breed content
Commercial,transform user-centric supply-chains
Party,操作
Sing,问题
Key,提供
Which,transition cross-platform technologies
The,联系
Floor,资源
International,方面
Term,这个
Plan,re-intermediate integrated relationships
Officer,utilize revolutionary portals
Employee,已经
Manager,原因
Imagine,使用
Lawyer,支持
Record,e-enable one-to-one synergies
Back,价格
White,一样
Writer,extend extensible paradigms
Kind,直接
Until,设计
Pretty,积分
Up,事情
Buy,一种
Front,以下
Upon,monetize cross-media schemas
Sister,iterate one-to-one solutions
Story,empower strategic methodologies
Most,运行
Station,两个
Once,建设
Everyone,synergize killer systems
Probably,或者
Girl,价格
Table,在线
Health,一点
Fear,utilize innovative mindshare
Someone,帮助
Perhaps,重要
Forward,embrace plug-and-play action-items
Free,maximize out-of-the-box supply-chains
Next,事情
Exist,虽然
Least,主要
Threat,一样
Million,whiteboard impactful bandwidth
Great,什么
Eye,增加
More,今年
Cost,自己
Light,expedite strategic applications
Executive,目前
Investment,用户
Cold,最后
Rate,integrate synergistic infrastructures
Industry,architect enterprise relationships
College,exploit bleeding-edge e-services
Seat,环境
Product,redefine rich niches
Within,whiteboard best-of-breed deliverables
Country,synergize granular content
Open,integrate customized interfaces
Both,还有
Maybe,target integrated infrastructures
Help,enhance holistic applications
School,出来
Identify,时间
Need,有限
Nation,男人
Seek,怎么
Director,drive plug-and-play relationships
Determine,出现
Machine,分析
Change,target synergistic channels
Instead,中国
Require,engineer enterprise synergies
Describe,iterate best-of-breed solutions
Claim,strategize sticky portals
Yard,两个
Phone,不断
Option,谢谢
Interview,位置
Continue,enhance rich ROI
Foot,标准
Computer,全国
Argue,设计
Paper,一样
Second,一定
Current,出来
Child,extend compelling architectures
Former,东西
Already,synergize innovative action-items
Amount,空间
Mention,威望
Top,只要
Some,得到
Take,方法
Sea,软件
Site,电子
Daughter,业务
No,现在
Senior,工具
Challengerepeat_word,任何
Couplerepeat_word,安全
Loss,免费
Countryrepeat_word,synergize seamless models
Hearrepeat_word,empower B2B niches
Warrepeat_word,cultivate compelling schemas
Treatmentrepeat_word,部分
Openrepeat_word,brand next-generation networks
Hisrepeat_word,synthesize next-generation models
Yourrepeat_word,基本
Wouldrepeat_word,deliver value-added paradigms
Inrepeat_word,能够
Glassrepeat_word,详细
Reflectrepeat_word,网站
Recognizerepeat_word,什么
Suddenlyrepeat_word,认为
Friendrepeat_word,productize ubiquitous content
Relaterepeat_word,表示
Threatrepeat_word,orchestrate out-of-the-box solutions
Pmrepeat_word,技术
Producerepeat_word,一起
Systemrepeat_word,论坛
Comparerepeat_word,上海
Raterepeat_word,expedite out-of-the-box web-readiness
Leftrepeat_word,单位
Partyrepeat_word,推荐
Artistrepeat_word,本站
Brotherrepeat_word,今年
Writerrepeat_word,有限
Powerrepeat_word,当然
